.,Spanish
EventCuinaArconSuperat.text,"Te concentras en los dibujos e intentas encontrar relaciones.\nEscuchas tambores lejanos y olor de mar.\nTienes una visión de una especie de ritual de sanación. \nUna tribu ancestral con su sacerdotisa se mueven y cantan para ayudar a algo tendido en el suelo.\n De pronto el cuerpo despierta, y sus extraños ojos negros te miran, atraviesan tu mente haciendote estremecer.\n\nEsto te ayuda a descubrir, entre todos los adornos, un pequeño triangulo formado por diminutas piedras brillantes en cada vertice.\n El triangulo sobresale ligeramente de la pieza metálica.\n"
EventEsquinaAdRoom2.text,"Aquí termina el pasillo. En una puerta\nCambia Vista por ficha de Exploración"
EventEsquinaAdRoom2.button1,Continuar
EventRoom2Expl.text,"Añade el módulo {c:TileRoom2}\n\nPequeña habitación. \nPobre respecto al resto de la casa.\nLa cama está deshecha, y hay desorden y cosas tiradas por el suelo, signos de lucha.\nReina un olor metálico que se siente en los dientes. \n \nPon ficha de Búsqueda en el colchón.\nAl fondo hay una puerta. \nMueve esta ficha de Exploración a esa puerta.\n\nPuedes moverte un paso al interior."
EventRoom2Expl.button1,Continuar
TokenRoom2ExplArmari.text,"Una puerta sencilla pero recia. \nParece un armario. \nTiene un picaporte sin llave.\n\nEl olor metálico aquí es más fuerte."
TokenRoom2ExplArmari.button1,Abrir Armario  {action}
EventRoom2Armario.text,"La puerta está cerrada y atrancada.\nAlguien ha puesto interés en que no se abra.\nHaz una tirada de ({strength},3)\nSi tienes el objeto {c:QItemPalanca}, o un objeto adecuado, tira 2 dados más.\nTe puede ayudar otr@ Investigador@ en el mismo espacio, \nsumando su {strength}, y gastando una acción suya."
EventRoom2Armario.button1,Esperas...
TokenPasilloTauleta.button1,Examinar  {action}
EventPasilloTauleta.text,"Sobre el mueble hay un calendario con las fases lunares y astronómicas. \nEstá subrayado el actual Solsticio de Invierno.\n\nAbres una puertecilla y encuentras  el objeto {c:QItemLuz}.\n\nRetira la ficha de Búsqueda."
TokenEsquinaExplBany.text,Es la puerta del Baño.
TokenEsquinaExplBany.button1,Abrir  {action}
EventBanyoAdObs.button1,Continuar
TokenWCBanyera.text,La bañera tiene manchas
TokenWCBanyera.button1,Observar  {action}
EventBanyoAdObs.text,"Es un cuarto de baño pasado de moda. \nNo demasiado limpio, huele a ... no sabes, mal.\n\nPon una ficha de Búsqueda en la bañera.\n\nRetira ficha de Exploración.\nPuedes moverte un espacio al interior."
EventWCVendas.button1,Continuar
EventWCVendas.text,"Ves  {c:QItemWCVendas} en el suelo\nPon el Objeto {c:QItemWCVendas} en el lugar indicado"
EventEsquinaEspejoFIN.text,"\nMueve esta ficha de Interacción del Espejo \n al Almacén de la cocina.\n"
TokenDespatxLlibres.text,"Una pared llena de historia. Muchos reconocimientos de universidades reputadas como Boston y Miskatonik, o del extraordinario Sefton Asylum.\nY recuerdos de viajes: artesanías prehistóricas, enseres tribales, armas bárbaras, mapas, y fotografías. \nEl Dr. Blackwood ha viajado por todo el mundo. "
TokenDespatxLlibres.button1,Observar {action}
EventDespatxPared.button1,Continuar
UIDespatxParedTxt.uitext,"Entre cuencos, mapas, máscaras, lanzas y flechas:\nUna fotografía te llama la atención\n\nUna pequeña foto, donde ves al \nDr. Blackwood en una escena de familia.\n\n                                                      "
UIDespatxPared.button1,Continuar
EventDespatxParedOFF.text,"Ganas una Pista {clue}\nRetira ficha Búsqueda"
EventDespatxParedOFF.button1,Continuar
UIDespatxParedTxt.button1,Botón1
fichasotanMurPasadis.text,"Detrás del mostrador hay un agujero\nLlega olor de sal y mar, y pescado podrido\nY el rugido lejano de las olas subterráneas gorgoteando "
fichasotanMurPasadis.button1,Continuar
fichasotanExplEscala.button1,Continuar
EventMenjadorArmari.text,"Hay multitud de material que te resulta raro para estar en un comedor. \nSobre todo herramientas, cuerdas y pintura.  \nEncuentras {c:QItemPalanca}.\n\nRetira la ficha de Búsqueda."
EventMenjadorArmari.button1,Continuar
fichasotanExplEscala.text,Si no duus Llum et fots de cap...
TokenRoom2Llit.text,"La cama está desprovista de ropa. Ni sábanas ni almohada. \n"
TokenRoom2Llit.button1,Examinar  {action}
EventRoom2Llit.text,"Parece que se ha quitado la ropa de cama de golpe.\nEl colchón está ligeramente torcido y ves un papel sobresaliendo entre las tablas del fondo.\nLo sacas con cuidado.\nEs una esquina de un papel manuscrito y manchado, alguien lo había escondido aquí, falta la parte importante.\n\nRetira ficha Búsqueda. \nGanas 1 pista {clue}"
EventRoom2Llit.button1,Continuar
UIRoom2CartaTxt.uitext,"1920 diciembre 18,   Kingsport, Massachusetts\n\nDesde esta triste locura acudo a usted.  \nEs la última esperanza para retomar la cordura y evitar una catastrofe inhumana.\nHe servido a su tío durante años, y he visto, y participado, en mas hechos grotescos\nde los que mi atormentada alma quisiera recordar.\nPero este último año Todo ha ido de mal en peor. \nEl Dr.Blackwood, al que he respetado y seguido fielmente desde que tengo uso de razón.\n Y al que mi padre ya siguió por mares y tierras sin nombre.\nCuidando de el y de su [tachado] esposa, y sus [tachado] hijos.\n Por remotas que fueran las aldeas a las que se arrastraban a estudiar \nlas blasfemas tradiciones y ritos. Por repugnantes que fueran las reliquias que atesoraran con ellos hasta...\nEl Dr. ya no es el mismo.\nEmpezó a hablar del Último Solsticio de Invierno.\nEl Último decía. Y empezaron a llegar esos baúles de ultramar. Ese olor por toda la casa. \nY su mirada cambió. Estaba resuelto, y empeñado, en secretos que hasta hoy no quiso compartir \nconmigo, su mano derecha.\n<i>- Lo he hecho por ti,  me ha dicho.\n- Para que no te condenes.\n- Los necesito otra vez conmigo, a mi lado.\n- Juntos de nuevo, toda la familia. </i>\nY se lo que eso significa.\nHe oido los tambores, y la flauta rechinante.\nY he oido sus voces, y chapoteos, mi padre me hablo de Ellos, los que ayudan a <color=red> (ilegible, manchado de sangre)</color>\nNo lo puedo permitir. Le ruego que venga cuanto antes y antes avi...<color=red>(ilegible)</color>\nCreo que sospecha de mí, debo ser... <color=red>(sangre)</color>\n<color=red>(ilegible)</color> interrumpir... <color=red>(ilegible)</color>\nNo hagan ruido!! es m... <color=red>(sangre)</color>\n\n\n                             <size=50>H</size>enry C<color=red>arter</color>"
UIRoom2CartaTxt.button1,Botón1
EventRoom2CartaFIN.text,"\nRecibes el objeto único {c:QItemPruebaCarta}.\nQue puedes consultar en tu inventario.\n"
EventRoom2CartaFIN.button1,Continuar
EventRoom2Armario.button2,Superas la tirada
EventRoom2ArmarioAbierto.text,"Has hecho mucho ruido y eso te asusta un poco.\nPero por fin se abre la puerta del armario.\n\nElimina ficha de Exploración.\nPon ficha de <color=grey>Oscuridad</color> dentro.\n\nEs un espacio pequeño y oscuro pero distingues diferentes cajas y estanterías bien ordenadas y limpias.\nExcepto una caja de cartón, grande, mal cerrada, que han intentado meter debajo de un estante con prisas.\n\nPon ficha de Búsqueda.\nPuedes moverte un espacio al interior."
EventRoom2ArmarioAbierto.button1,Continuar
TokenRoom2ArmariCaja.text,"De la caja sobresale una tela blanca.\nNecesitas una Fuente de Luz para poder Examinarlo.  "
TokenRoom2ArmariCaja.button1,Tengo luz {action}
EventRoom2ArmariCaja.button1,Continuar
EventRoom2CajaTroballa.text,"...  con la impresión sueltas de golpe las sábanas,\n y algo cae de entre sus pliegues.\nUn papel vuela hasta un rincón oscuro.\n\nMueve la ficha de Observación a la esquina."
TokenRoom2Carta.text,"Detrás de un mueble ves el papel.\nTiene una esquina rota."
TokenEsquinaExplRoom2.text,"Una puerta cerrada. \nBajo la suciedad se distingue el contorno de una letra H,\npintada con estilo y mano firme."
TokenEsquinaExplRoom2.button1,Abrir  {action}
EventRoom2ArmariCaja.text,"\nVes cristales por el suelo. \nParece que alguien también ha roto la lámpara del armario.\nDentro de la caja encuentras un atado de sabanas blancas. \nAl deshacerlo descubres con Horror que están empapadas de sangre, mucha sangre. \nY la almohada, chorreando sangre.\nUn tsunami de olor ferroso inunda el pequeño recinto.\n\nTod@s l@s investigador@s en {c:TileRoom2} \nreciben 2 cartas de horror eliminadas por {{will}}\n"
EventPasilloTauleta.button1,Continuar
TokenPasilloTauleta.text,"Un mostrador con objetos de uso diario.\n"
EventComedorTaula.text,"Encuentras un objeto útil  {c:QItemWhiskey}\nRetira ficha Búsqueda"
EventComedorTaula.button1,Continuar
EventRoom2ArmarioAbrirNO.text,"CROCK !!!  \n(mucho ruido ecos en toda la casa)"
EventBiblioQuadreDagaTrobada.button1,Pasas Tirada
EventBiblioAdTokens.button1,Continuar
EventBiblioAdTokens.text,"Al fondo hay una silla con algo encima.\nUna estantería especial a la derecha.\nDestaca un cuadro de extrañas geometrías a la izquierda.\n\nPon fichas de Observación\n Puedes moverte un espacio hacia el interior\n"
EventWCBanyera.text,"Alguien ha limpiado la bañera con prisa. Queda una linea de residuos secos, convertidos en costra como la de una herida. Podria ser ¿sangre? ¿tanta sangre?\n La idea te horroriza recibes un a carta de horror anulada por  {will}\nRecibes una pista {clue}\n\nRetira la ficha de Búsqueda"
EventWCBanyera.button1,Continuar
TokenBiblioA_EstanteDcha.text,"Esta estantería parece que se usaba mucho mas que las otras.\nHay libretas de apuntes, y marcadores de página en varios volúmenes."
TokenBiblioA_EstanteDcha.button1,Buscar {action}
EventBiblioA_0EstanteDcha.button3,Nada
EventBiblioA_0EstanteDcha.text,"Libros, pergaminos, libretas, rollos de mapas, objetos extraños, recipientes sellados. \nBuscas algo que te ayude en tu investigación\nHaz una tirada de {observation}\n"
EventBiblioA_0EstanteDcha.button1,{success} {success} o más
EventBiblioA_3Fallo.button1,Continuar
EventBiblioA_3Fallo.text,"Hay una miríada de libros y utensilios que no entiendes.\nTe hacen pensar en rituales y cosas secretas y cosas y raro y que me pasa y no se cosas cosas cosas cosss.\nLa cabeza te da vueltas subido a la estantería\n y te desplomas contra el suelo.\nRecibes 2 cartas de Daño boca abajo anuladas por {agility} \n "
EventBiblioA_2Dosomas.button1,Continuar
EventBiblioA_1Uno.button1,Continuar
EventBiblioA_0EstanteDcha.button2,{success}
EventBiblioA_2Dosomas.text,|||Centenares de libros arcaicos que quieres leer,\n ahora mismo... Todos. \nPergaminos que hablan de viajes al Pacífico, a Àfrica, i al continente Americano. \nCostumbres de tribus desconocidas  recopiladas y documentadas.\n\nSospechas que el tío Blackwood tenía unos intereses muy peculiares, y que había profundizado en ellos.\nAprendiendo cosas que nadie debería saber.\nEncuentras documentos relativos al transporte de mercancias desde más allà del oceano. \nY cartas entre "chamanes", o supuestos hechiceros,\n hablando sobre  "La Segunda Oportunidad" \n\nRecibes dos pistas  {clue} {clue}\nY recoges el objeto {c:QItemLlibre}\n\nRetira ficha de Búsqueda|||
TokenSotanExplEscala.text,"Al final de las empinadas escaleras.\nUna vieja puerta mohosa, en la penumbra."
TokenSotanExplEscala.button1,Abrir {action}
EventSotanEscala.text,"La puerta está encajada.\n Será fácil abrirla con una palanca. \nPero con un fuerte empujón se debería poder abrir.\n\nTira ({strength},2) +2 dados con Palanca. "
EventSotanEscala.button1,Superado con Palanca
EventSotanEscalaSuperat.text,"Con un suave gruñido se mueve la puerta.\nSi nadie lleva Fuente de Luz en tu espacio\nno ves el último escalón, aaah! \nRecibes dos cartas de daño boca abajo anuladas por {agility} \n\nRetira la ficha de Exploración.\nPuedes avanzar un espacio bajando el escalón."
EventSotanEscalaSuperat.button1,Continuar
EventSotanEscala.button2,Superado
EventSotanEscala.button3,Fallo
EventSotanEscalaSuperatCop.button1,Continuar
EventRoom2ArmarioAbrirNO.button1,Continuar
EventSotanAdSala.text,"Al final de la escalera ves el sótano de la casa. \nEs mucho más antiguo que el resto del edificio, el suelo es de tierra.\nHay grandes baúles amontonados. y montañas de material.\n\nAñade un muro frente a la escalera.\n\nPon las dos fichas de Observación.\nY una de exploración en la puerta del rincón. \nA lado de la puerta una ficha de Obstrucción."
EventSotanAdSala.button1,Continuar
TokenSotanBagul.button1,Examinar {action}
EventSotanBagul.text,"Parecen embalajes de algún tipo de transporte, seguramente marítimo\nEstán todos abiertos y vacíos, algunos tienen tierra en el fondo. \nEl olor es nauseabundo a hongos y muerte.\nSi te fijas puedes seguir un rastro hacia la otra puerta, pequeños surcos de arrastre en la tierra.\nObtienes una pista  {clue}\n\nRetira ficha Observación"
TokenSotanBagul.text,Grandes cajas, cofres y baúles de transporte
EventSotanBagul.button1,Continuar
TokenSotanExplDespensa.button1,Explorar  {action}
EventSotanPorta.text,"La puerta se abre en silencio.\nEstá muy oscuro, no ves absolutamente nada.\nPor lo que agudizas los sentidos:\nHuele a algo impensable, a ¿sal?, a ¿yodo? a Mar?\nEscuchas un ruido rítmico, líquido, lejano...\n\nElimina ficha de Exploración."
EventSotanPorta.button1,Tengo fuente de luz
EventSotanPorta.button2,No veo nada
EventSotanDespensa.text,"Puedes iluminar el interior.\nEs una despensa bien abastecida.\nHay mucha comida. Sobre todo derivados del pescado, harinas y algas.\nEn el interior aumenta el sonido rítmico y el olor familiar, pero desubicado, raro.\nVes algo en el suelo.\n\nAñade ficha de Observación.\nAñade ficha de muro a la izquierda.\n\nPuedes moverte un espacio al interior"
EventSotanDespensa.button1,Continuar
TokenSotanTrastos.button1,Inspeccionar  {action}
EventSotanTrastos.text,"Un montón de utensilios, aparejos de pesca, utiles marineros, herramientas oxidadas.\nentre ellos encuentras {c:QItemHerramienta}\n\nRetira ficha de Observación."
TokenSotanTrastos.text,Trastos amontonados.
EventSotanTrastos.button1,Continuar
TokenSotanDespensaTerra.button1,Investigar  {action}
EventSotanDespensaAdInteraccion.button1,Continuar
EventSotanDespensaTerra.text,"Acercas tu luz al suelo para verlo mejor.\nEs evidente que los surcos siguen desde la puerta hacia la pared derecha. \n¡Pero eso, es imposible!  Se adentran por debajo de la pared.\n\nRetira la ficha de Observación. "
EventSotanDespensaTerra.button1,Continuar
TokenSotanInteraccion.text,El pequeño estante ocupa la pared, repleto de recipientes.
EventSotanDespensaAdInteraccion.text,Pon una ficha de Interacción en el mueble de la pared.
TokenSotanInteraccion.button1,Explora el mueble {action}
EventPontAdPont.button1,Continuar
EventSotanSecret.text,"Un reflejo te atrae, al apartar uno de los frascos.\n Ves una pequeña placa metálica disimulada en la pared.\nAtisbas un pequeño triángulo metálico adornado con símbolos y diminutas piedras preciosas. \nTiene una rendija con forma de Cruz Griega."
EventSotanSecret.button1,Tengo la Daga
EventSotanSecret.button2,Esperar
EventSotanSecretObert.text,"Tomas la daga y la introduces con cuidado. \nGiras la derecha.\nGiras a la izquierda.\nSNAP!!!"
EventSotanSecretObert.button1,Continuar
EventSotanSecretPorta.text,"La estantería cede y se balancea hacia un lado.\nAhora la pared tiene un abertura por la que puede pasar una persona. \n\nRetira ficha Interacción.\nSustituye la ficha de Pared por una Ficha de Pasadizo."
EventSotanSecretPorta.button1,Continuar
TokenSotanDespensaTerra.text,Algo te llama la atención.
TokenCovaExplPont.text,"Una puerta de madera carcomida por la humedad y el salitre.\nSi te acercas oyes mas fuerte el rumor líquido y el olor salado."
TokenPont.text,El puente da miedo pero lo que imaginas en la negrura bajo tus pies aún más.
TokenPont.button1,Inspeccionar  {action}
EventPont.text,"Te agachas con cuidado y ves huellas de barro en las tablas del tambaleante puente. \nHuellas de botas, huellas de pies desnudos?\n y huellas de ... que eso??\n\nHaz una tirada de ({will},2).\nSi la superas entiendes lo que has visto y lo asimilas.\nRecibes una pista {clue}\nSi fallas recibes una carta de Horror boca abajo.\n\nRetira la ficha de Búsqueda."
EventPont.button1,Continuar
EventPontAdPont.text,"Ahora recibes una oleada de olores salados y marinos.\nUna oleada! escuchas las olas\n rompiendo en algún lugar profundo y oscuro.\n\nAñade el módulo  {c:TilePont}\n\nUn puente de cuerda y maderas ancianas cruza un abismo. Abismo que te hace soñar \nque abajo, muy abajo, el mar rompe sus olas cruel y ponzoñoso.\nUnas antorchas iluminan el paso y dejan vislumbrar una extraña puerta.\n\nMueve esta ficha de exploración al fondo, a la nueva puerta.\nEn el centro del puente pon una ficha de Búsqueda.\n\nPuedes avanzar un espacio hacia el puente."
quest.synopsys,Tio Jeremiah nos invita a celebrar en su casa, pero nadie sale a recibirnos...
EventSotanSecretAdCova.text,"Agachado, por el agujero, puedes ir arrastrándote a una cueva mal iluminada y de olores nauseabundos.\nLa caverna se adentra en un túnel sinuoso e inquietante.\n\nColoca el módulo {c:TileCova}\n\nLas llamas de las antorchas pintan claroscuros y sombras retorciéndose por las paredes chorreantes y negras como el vacío. Bailan al ritmo del rumor de unas olas lejanas y aún más y más negras.\nVes una puerta a tu izquierda y otra al fondo. \nDistingues en la roca extrañas líneas y colores.\n \nAñade fichas de Exploración a las dos puertas.\ny ficha de Observación en la pared del fondo.\n\nPuedes adentrarte avanzando un espacio. \n"
EventSotanSecretAdCova.button1,Continuar
TokenCovaDibuix.button1,Examinar {action}
UICovaDibuixTxt.uitext,"Las paredes más profundas están llenas de\n grabados y pinturas espeluznantes.\n Con distintos estilos y de distintas épocas. \nNarran abominables leyendas\n de muertes y Renacimientos.\nRepresentan diferentes razas de hombres y mujeres\n celebrando danzas y ritos a veces compartidos\n con obscenas figuras humanoides surgidas del mar. \n               Formas enormes y amorfas salen de unos extraños ojos.\n                           "
EventCovaDibuix.button1,Continuar
TokenPontExplAltar.button1,Explorar  {action}
TokenCovaDibuix.text,Ves unas formas y colores en la piedra.
EventSotanEscalaSuperatCop.text,"Con un fuerte CRUJIDO (!!) se mueve la puerta.\nSi nadie lleva Fuente de Luz en tu espacio\nno ves el último escalón, y con el impulso: aaah! \nRecibes tantas cartas de daño boca abajo como {success}\nen la tirada anterior.\n\nRetira la ficha de Exploración.\nAvanzas un espacio. "
TokenSotanExplDespensa.text,Una puerta vieja y destartalada.
UICovaDibuixTxt.button1,Continuar
EventAltar.text,"Resuena la afilada canción,\n hermanada con una oscura letanía gemela.\nEn el centro, un altar de piedra negra sobre patas de piedra roja. \nAlrededor, velas pozoñosas ardiendo con fuego sacrílego.\nSobre la mesa, un cuerpo humano seco y retorcido,\ncon odiosos simbolos amarillos pintados en su craneo.\n \nA sus pies un hombre, ataviado como un sacerdote arcaico,\n toca una pequeña flauta de hueso.\n Al otro lado, una corpulenta mujer con los brazos abiertos y los ojos desorbitados.\n Repite palabras en una lengua que no existe hace eones.\nVestida de algas, huesos y plumas exóticas. En su manto de piel ancestral brillan piedras preciosas, que dibujan figuras geométricas que reconoces. \n\nRecibes 1 carta de horror boca abajo anulada por {lore}.\n\nPon las dos fichas de personaje en sus lugares.\nPuedes moverte un espacio al interior."
EventCovaDibuixOFF.text,"Recuerdas las huellas de barro de la casa y un frío atroz y venenoso hace temblar tu columna.\n A la vez tus oídos perciben el rumor de una melodía de flauta aguda e hipnótica.\n\nRecibes una carta de horror boca abajo\nGanas una Pista {clue}\n\nRetira la ficha de Búsqueda"
EventCovaDibuixOFF.button1,Continuar
EventCovaExplAltar.text,"La puerta, de madera oscura y hierro, está sembrada de pictogramas. \nSímbolos y fetiches de hueso, con piedras brillantes incrustadas. \nAl otro lado, oyes sonidos y movimiento.\nDistingues el silbar de una especie de ocarina prehistórica."
EventCovaExplAltar.button1,Abrir {action}
EventCovaExplAltar.button2,Esperar
EventCovaAdAltar.text,"\nLo que hay detrás de la puerta te hiela la sangre.\nUna sala excavada en la piedra negra. \nCon un altar rodeado de crepitantes velas negras.\nLas paredes, atiborradas con relieves y pinturas de pesadilla.\n Seres humanos en diferentes grados de deformidad realizan actos atroces y prohibidos.\n\n\nRetira la ficha de Exploración.\nColoca el módulo {c:TileAltar}.\nAñade una ficha de muro a la derecha.\nUna de Observación sobre el altar.\n\nY al fondo izquierdo, hay ... algo\n... o no,  como una ... ¿puerta? ¿un Ojo?\n\nPon una ficha de Interacción.\n"
EventCovaAdAltar.button1,Continuar
EventAltar.button1,Continuar
TokenAltarPortal.button1,Explorar  {action}
EventCovaLosa.text,"La ominosa y milenaria losa negra está cubierta de escrituras enfermas. \nAlgunos grabados parecen nombres y fechas.\nPuedes descifrar algunas de más de 300 años. \nOtras son ilegibles, más viejas que la propia cueva. \nAl empujar la puerta, cede fácilmente con un lamento de piedra con piedra...\n\nRetira la ficha de Exploración."
EventAltarPortal.text,"Es un agujero negro, como un ojo diabólico,\nen continua transformación. \nEn microparpadeos atisbas algo al otro lado. \nY no es de este mundo.\nY de alguna manera contesta a las palabras y sonidos de la sala negra del altar. "
EventAltarPortal.button1,Entras en el Portal
TokenCovaExpCripta.button1,Explorar {action}
EventCovaLosa2.text,"Ves que algunas de las tumbas han sido profanadas.\nUn olor fétido de muerte añeja lo inunda todo.\n\nColoca ficha de Observación sobre el sarcófago.\nY una ficha de Vista al fondo.\n\n<b>...ssSilencio! </b>\n...algo se mueve en lo más profundo de la cripta..."
TokenAltarPortal.text,Lo que podría haber sido una puerta se descompone y recompone ante tus ojos cíclicamente, entre chisporroteos eléctricos, y borboteos viscosos.
EventCovaLosa1.text,"¡¡El espectáculo es dantesco!!\n\nColoca el módulo {c:TileCripta}.\n\nAdivinas docenas de nichos y arcosolios que se agolpan en las paredes de esta infecta cripta.\nY varios sarcofagos de piedra tallada, con geometrías oscilantes esculpidas en sus paredes y lápidas, oscurecen tu ánimo. \n\nColoca <color=grey>Oscuridad </color>en los dos espacios.\n\nPuedes avanzar un paso hacia el interior."
TokenAltarTio.text,"El hombre sopla su enfermiza sintonía.\nAlucinado. No se da cuenta de que estas ahí."
TokenAltarTio.button1,{action} Le hablas
TokenAltarTio.button2,{action} Le atacas
EventTioSoy.button1,- Vamos Tío Jeremiah  ¡Soy yo!
EventTioOtro.text,"Sus rasgos te resultan familiares\nEstá en pleno trance"
EventTioSoy.text,"- Esa nariz aplanada y esos labios violáceos...? \naciertas a balbucear con emoción.\nReconoces a tu tío Jeremiah.\n- ¡Tío Jeremiah! soy yo. {c:EventInici}."
EventTioOtro.button1,Hablas con el
EventTioSoy.button2,- Tío Jeremiah ¡Para esta locura!
EventTioPara.text,|||Te lanzas sobre él gritando. \n¡BASTA! \n Tu grito le ha sobresaltado.\n(y resuena por las paredes y pasadizos)\nTe mira sin parpadear.\nCuando lo hace te das cuenta que es extraño su parpadeo.\nY más cosas. Sus ojos son vidriosos y su piel escamosa y gris.\nSigue soplando su maligna flauta y sonríe con sonrisa de pez.\nEscuchas una voz en tu cabeza "-¡Bienvenido a casa!".\nMientras una fuerza invisible te lanza contra la pared al fondo de la sala.\n(mueve investigador@ al espacio del fondo).\n\nRecibes una carta de horror anulada por {will}.\nY  una de daño anulada por {strength}.\nAdquieres el estado Desconcertado.\n|||
EventTioSoyYo.button1,{influence} Superada
EventTioSoyYo2.text,|||\nPosa sus manos en tus hombros.\nSon frías y ¿escamosas? Y sus ojos ... ¡tienen dos párpados!\nEl aire se espesa.\nTe susurra con otra voz: "- ¡ Te estábamos esperando !"\nIntenta agarrarte. \n\n Recibes una carta de horror boca abajo anulada por {will}.\n\nIntentas zafarte con ({agility}+1,2).\nSi lo superas puedes moverte un espacio.\n Si fallas quedas en Estado Retenido.\n|||
EventTioSoyYoSuperado.button1,Continuar
EventTioSoyYo2.button1,Continuar
EventTioPara.button1,Continuar
SpawnTio.button1,Continuar
SpawnTio.text,|||Un bramido gutural sale de su garganta:\n\n- ¡El solsticio de invierno trae la Navidad! \n- ¡La Navidad trae a la familia!\n\n<i><b>-"Iä! Iä!! Familia fhtagn! Juntos Madre Hidra"</b></i>.\n\nSustituye la ficha de Personaje del Tío Jeremiah\npor una miniatura de {c:SpawnTio}.|||
EventTioSoyYo.text,|||Te mira a los ojos por primera vez.\nLa música se detiene.\n"-¿Eres tu?", te dice con un hilo de voz.\n"-Eres tu!". Te sonríe.\n"-¡Que suerte tenemos! Has llegado a tiempo, es Navidad!.\n -¡El Solsticio de Invierno!".\n- Si, le dices  -Esta todo bien.\nIntentas calmarle.\nHaz una tirada de ({influence},1).|||
EventTioOtro.button2,Le atacas
EventTioHablas.text,Te acercas a él con cautela
EventTioHablas.button1,-Hola, perdone que le interrumpa
EventTioHablas.button2,-Haga el favor de parar esto!
EventTioPerdone.text,|||Durante unos segundos todo sigue igual, sigue tocando y la mujer recitando sin parar.\nEntonces, te mira, con los ojos velados,sin parpadear.\nY deja de tocar.\nCon una voz cavernosa como de otro mundo, te pregunta:\n-"Eres {c:EventInici} ?"\n-"Dónde está {c:EventInici} ?"\nY escuchas en tu mente : "-¡Que venga, ahora!!"\n\nUn fuerza invisible te empuja fuera de la habitación\nal espacio adyacente del módulo {c:TilePont}.\nRecibes una carta de horror anulada por {will}.\n|||
EventTioPerdone.button1,Continuar
EventTioHablas2.text,|||Te acercas de nuevo a él. \nY sientes como tu piel se eriza.\nAlgo resuena en tu cabeza por encima de la enloquecida melodía.\nEntre esos murmullos entiendes\n"- Solo quiero a mi familiar "\n"- Trae a {c:EventInici}, ¡AHORA!"\n\nSales despedido a través de la puerta\nRecibes una carta de daño anuladas por {agility}|||
EventTioHablas2.button1,Continuar
SpawnMama.text,"Sustituye la ficha de personaje\nPor la miniatura de {c:SpawnMama}"
SpawnMama.button1,Continuar
TokenAltarMama.text,Es una mujer de una belleza indescriptible
TokenAltarMama.button1,Hablas con ella {action}
EventMama.text,"Es de una belleza... difícil de describir\nY sigue cantando su letanía totalmente poseída \nIgnorando tu existencia"
EventMama.button1,¡Disculpe, por favor!
EventMama.button2,¡Basta, detengase!
EventMamaPlease.text,|||Es una mujer de una belleza ...indescriptible...\n ...telúrica... paralizante... mientras no parpadeas. \nSi lo haces, si parpadeas, durante una milésima de segundo crees atisbar una piel azul verdosa y cuarteada. \nY unas manos palmeadas con afiladas garras.\nPor un fracción de segundo, ella mira hacia la "puerta" a sus espaldas e inmediatamente abre unos ojos enormes y acuosos hacia ti...\nCada investigador@ en la sala recibe una carta de Horror anulada con {lore}\n|||
EventMamaPlease.button1,Continuar
TokenAltarMama.button2,Le atacas {action}
EventMamaDefiende.text,"Pronuncia palabras en una lengua oscura. \nInvestigador@s en {c:TileAltar} intentan resistir con ({strength},2)\nLos que lo superan pueden realizar una acción extra.\n Si fallan quedan en Estado Aturdido."
EventMamaDefiende.button1,Continuar
TokenAltarMesa.button1,Explorar  {action}
EventAltarMesa.text,"Es un cadaver momificado de alguna manera ancestral. \nHa sido desenterrado y pintado con los arcanos simbolos amarillos de fertilidad y renacimiento.\n¿Que abominación pretendian hacer con el?\n\nEncuentras la prueba {c:QItemPruebaMesa}.\nGanas una pista  {clue}\n\nElimina la ficha de Búsqueda."
TokenAltarMesa.text,Sobre la mesa de piedra un cadáver humano antiguo.
EventAltarMesa.button1,Continuar
EventCovaLosa2.button1,¿Llevas Fuente Luz?
EventCovaLosa2.button2,Sin Luz
EventCriptaLuz.button1,Continuar
EventCriptaLuz.text,"Levantas el brazo con la luz para iluminar la lúgubre estancia.\nAlgo se aleja, escondiéndose en la negrura."
EventCriptaZombieGo.button1,Continuar
EventCovaLosa1.button1,Continuar
EventCovaLosa.button1,Continuar
TokenCriptaTomba.text,"Las tumbas han sido profanadas. \nY sus moradores ya no están en ellas.\n\nHaz una tirada de {observation}.\n"
TokenCriptaTomba.button1,{success}{success}
TokenCriptaTomba.button2,{success}
TokenCriptaTomba.button3,Fallo
EventCriptaTomba2.text,"Ves manchas de pintura amarilla en la piedra y en pequeños huesos humanos.\nY llegas a nuevas conclusiones.\nRecibes el objeto único {c:QItemPruebaTomba}.\nY recibes dos pistas {clue}.\n\nRetira la ficha de Búsqueda.\n"
EventCriptaTomba2.button1,Continuar
EventCriptaTesoro.text,En el fondo de la tumba encuentras el objeto {c:QItemMasEquipo}
EventCriptaTesoro.button1,Continuar
EventCriptaTomba1.text,"Ves manchas de pintura amarilla.\nY marcas de arañazos en la piedra.\nY llegas a nuevas conclusiones.\n\nRecibes el objeto único {c:QItemPruebaTomba}.\nY una pista {clue}.\n\nRetira el marcador de búsqueda. \n"
EventCriptaTomba1.button1,Continuar
