.,French
EventCuinaArconCruz.text,"... un autre déclic métallique retentit.\nLa main qui tient la Dague vibre, et celle-ci sort de sa prison.\nMais quelque chose a changé.\nUne <color=yellow>pièce dorée</color> s'est incrustée dans la lame et lui donne un nouveau profil.\nEn la regardant depuis la pointe, elle a la forme d'une croix, une croix grecque.\n\nPlacez un pion d'Identification sur votre carte d'objet unique Dague Rituelle.\nMaintenant, l'indicateur et la Dague ne forment qu'un seul objet.\n{success}{success}\nEn l'utilisant comme arme de mêlée,\nen plus des <b>+2 dés</b> magiques, elle\nproduit le <b>double de dégâts</b> du résultat de l'attaque.\nElle possède la capacité <b>Projeter</b> qui permet, sans dépenser d'action, de Projeter la dague dans les mains d'un autre investigateur à portée.\n(vous pouvez la consulter dans votre inventaire d'objets).\n\nRetirez le pion Recherche.\n"
EventEsquinaEspejoNoCruzSiDaga.button1,Essayer avec la Dague
EventEsquinaEspejoNoCruzSiDaga.button2,Laisser pour le moment
EventEsquinaEspejoPrueboconDaga.text,"Vous voyez que cela ne coïncide pas mais vous essayez quand même.\nLa pointe entre facilement mais ne va pas plus loin.\nVous pressez un peu et remuez en essayant de trouver des mécanismes ou des engrenages.\nVous notez un léger fourmillement dans la main..."
EventEsquinaEspejoPrueboconDaga.button1,Continuer
EventCuinaAdRebost.text,"Le pommeau de la porte est sale et collant.\nVous ne voulez pas savoir de quoi.\nEn ouvrant, vous voyez sur la gauche une étagère remplie de produits étonnamment bien rangés : paquets de nourriture, sacs de riz, barils.\nEn face, un énorme coffre comme ceux qu'emportent les navires au long cours.\n\nAjoutez un pion Recherche.\n\nRetirez le pion Exploration.\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventCuinaAdRebost.button1,Continuer
TokenComedorTaula.text,La table est dressée pour plusieurs convives. Mais cela date d'il y a longtemps car les assiettes et les couverts sont couverts d'une couche de poussière.
EventCuinaArconNODaga.button1,Continuer
EventCuinaArconTENGOlaDaga.text,"Vous sortez la Dague et voyez la ressemblance entre l'ornementation du manche et les trois pierres du coffre.\nAvec la pointe du couteau, vous poussez le triangle avec force.\nUn déclic retentit et le couvercle s'ouvre.\n\nVous trouvez l'Objet {c:QItemArconObjetoEquipo}\n\nMais la Dague reste coincée.\nVous tirez fort et elle ne bouge pas.\n\nMais en la tournant...\n"
EventCuinaArconSuperat.text,"Vous vous concentrez sur les dessins et essayez de trouver des relations.\nVous entendez des tambours lointains et une odeur de mer.\nVous avez une vision d'une sorte de rituel de guérison.\nUne tribu ancestrale avec sa prêtresse s'agitent et chantent pour aider une forme allongée sur le sol.\nSoudain, le corps s'éveille, et ses étranges yeux noirs vous regardent, traversent votre esprit en vous faisant frissonner.\n\nCela vous aide à découvrir, parmi tous les ornements, un petit triangle formé par de minuscules pierres brillantes à chaque sommet.\nLe triangle dépasse légèrement de la pièce métallique.\n"
EventEsquinaAdRoom2.text,"Ici s'achève le couloir. Devant une porte.\nRemplacez la Vue par un pion Exploration."
EventEsquinaAdRoom2.button1,Continuer
EventRoom2Expl.text,"Ajoutez la tuile {c:TileRoom2}\n\nPetite chambre.\nPauvre par rapport au reste de la maison.\nLe lit est défait, il y a du désordre et des choses jetées au sol, signes de lutte.\nUne odeur métallique règne, que l'on ressent jusque dans les dents.\n\nPlacez un pion Recherche sur le matelas.\nAu fond se trouve une porte.\nDéplacez ce pion Exploration vers cette porte.\n\nVous pouvez vous déplacer d'un pas vers l'intérieur."
EventRoom2Expl.button1,Continuer
TokenRoom2ExplArmari.text,"Une porte simple mais robuste.\nOn dirait une armoire.\nElle possède un loquet sans clé.\n\nL'odeur métallique est plus forte ici."
TokenRoom2ExplArmari.button1,Ouvrir l'armoire {action}
EventRoom2Armario.text,"La porte est fermée et barricadée.\nQuelqu'un a tenu à ce qu'elle ne s'ouvre pas.\nFaites un test de ({strength}, 3).\nSi vous avez l'objet {c:QItemPalanca}, ou un objet adéquat, lancez 2 dés supplémentaires.\nUn autre investigateur dans la même case peut vous aider en ajoutant sa {strength} et en dépensant une de ses actions."
EventRoom2Armario.button1,Vous attendez...
TokenPasilloTauleta.button1,Examiner {action}
EventPasilloTauleta.text,"Sur le meuble se trouve un calendrier avec les phases lunaires et astronomiques.\nL'actuel Solstice d'Hiver est souligné.\n\nVous ouvrez une petite porte et trouvez l'objet {c:QItemLuz}.\n\nRetirez le pion Recherche."
TokenEsquinaExplBany.text,C'est la porte de la salle de bain.
TokenEsquinaExplBany.button1,Ouvrir {action}
EventBanyoAdObs.button1,Continuer
TokenWCBanyera.text,La baignoire présente des taches.
TokenWCBanyera.button1,Observer {action}
EventBanyoAdObs.text,"C'est une salle de bain démodée.\nPas très propre, elle sent... vous ne savez pas quoi, mais ça sent mauvais.\n\nPlacez un pion Recherche dans la baignoire.\n\nRetirez le pion Exploration.\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventWCVendas.button1,Continuer
EventWCVendas.text,"Vous voyez {c:QItemWCVendas} au sol.\nPlacez l'Objet {c:QItemWCVendas} à l'endroit indiqué."
EventEsquinaEspejoFIN.text,"\nDéplacez ce pion Interaction du Miroir\nvers la réserve de la cuisine.\n"
TokenDespatxLlibres.text,"Un mur chargé d'histoire. De nombreuses distinctions d'universités réputées comme Boston et Miskatonic, ou de l'extraordinaire Asile de Sefton.\nEt des souvenirs de voyages : artisanats préhistoriques, ustensiles tribaux, armes barbares, cartes et photographies.\nLe Dr Blackwood a voyagé dans le monde entier."
TokenDespatxLlibres.button1,Observer {action}
EventDespatxPared.button1,Continuer
UIDespatxParedTxt.uitext,"Entre les bols, les cartes, les masques, les lances et les flèches :\nUne photographie attire votre attention.\n\nUne petite photo où vous voyez le\nDr Blackwood dans une scène de famille.\n"
UIDespatxPared.button1,Continuer
EventDespatxParedOFF.text,"Vous gagnez un Indice {clue}.\nRetirez le pion Recherche."
EventDespatxParedOFF.button1,Continuer
UIDespatxParedTxt.button1,Bouton1
fichasotanMurPasadis.text,"Derrière le comptoir se trouve un trou.\nUne odeur de sel, de mer et de poisson pourri s'en dégage.\nAinsi que le grondement lointain des vagues souterraines gargouillant."
fichasotanMurPasadis.button1,Continuer
fichasotanExplEscala.button1,Continuer
EventMenjadorArmari.text,"Il y a énormément de matériel qui vous semble étrange dans une salle à manger.\nSurtout des outils, des cordes et de la peinture.\nVous trouvez {c:QItemPalanca}.\n\nRetirez le pion Recherche."
EventMenjadorArmari.button1,Continuer
fichasotanExplEscala.text,Si vous n'avez pas de lumière, vous allez tomber tête la première...
TokenRoom2Llit.text,"Le lit est dépourvu de draps. Ni couverture, ni oreiller.\n"
TokenRoom2Llit.button1,Examiner {action}
EventRoom2Llit.text,"Il semble que le linge de lit a été retiré brusquement.\nLe matelas est légèrement de travers et vous voyez un papier dépasser entre les planches du fond.\nVous le sortez avec précaution.\nC'est le coin d'un papier manuscrit et taché, quelqu'un l'avait caché ici, il manque la partie importante.\n\nRetirez le pion Recherche.\nVous gagnez 1 indice {clue}."
EventRoom2Llit.button1,Continuer
UIRoom2CartaTxt.uitext,"18 décembre 1920, Kingsport, Massachusetts\n\nDepuis cette triste folie, je m'adresse à vous.\nC'est le dernier espoir pour retrouver la raison et éviter une catastrophe inhumaine.\nJ'ai servi votre oncle pendant des années, et j'ai vu, et participé, à plus de faits grotesques\nque mon âme tourmentée ne voudrait s'en souvenir.\nMais cette dernière année, tout est allé de mal en pis.\nLe Dr Blackwood, que j'ai respecté et suivi fidèlement depuis que j'ai l'âge de raison.\nEt que mon père a déjà suivi par-delà les mers et les terres sans nom.\nPrenant soin de lui et de sa [raturé] épouse, et de ses [raturé] enfants.\nAussi reculés que fussent les villages où ils se traînaient pour étudier\nles traditions et rites blasphématoires. Aussi répugnantes que fussent les reliques qu'ils thésaurisaient avec eux jusqu'à...\nLe Docteur n'est plus le même.\nIl a commencé à parler du Dernier Solstice d'Hiver.\nLe Dernier, disait-il. Et ces malles d'outre-mer ont commencé à arriver. Cette odeur dans toute la maison.\nEt son regard a changé. Il était résolu, et acharné, sur des secrets qu'il ne voulait pas partager\njusqu'à aujourd'hui avec moi, son bras droit.\n<i>- Je l'ai fait pour toi, m'a-t-il dit.\n- Pour que tu ne sois pas damné.\n- J'ai besoin d'eux à nouveau avec moi, à mes côtés.\n- Ensemble à nouveau, toute la famille.</i>\nEt je sais ce que cela signifie.\nJ'ai entendu les tambours, et la flûte grinçante.\nEt j'ai entendu leurs voix, et les clapotis, mon père m'avait parlé d'Eux, ceux qui aident à <color=red>(illisible, taché de sang)</color>\nJe ne peux pas le permettre. Je vous prie de venir au plus vite et avant de prév... <color=red>(illisible)</color>\nJe crois qu'il me soupçonne, je dois être... <color=red>(sang)</color>\n<color=red>(illisible)</color> interrompre... <color=red>(illisible)</color>\nNe faites pas de bruit !! C'est m... <color=red>(sang)</color>\n\n\n                             <size=50>H</size>enry C<color=red>arter</color>"
UIRoom2CartaTxt.button1,Bouton1
EventRoom2CartaFIN.text,"\nVous recevez l'objet unique {c:QItemPruebaCarta}.\nQue vous pouvez consulter dans votre inventaire.\n"
EventRoom2CartaFIN.button1,Continuer
EventRoom2Armario.button2,Réussite
EventRoom2ArmarioAbierto.text,"Vous avez fait beaucoup de bruit et cela vous effraie un peu.\nMais enfin la porte de l'armoire s'ouvre.\n\nRetirez le pion Exploration.\nPlacez un pion <color=grey>Obscurité</color> à l'intérieur.\n\nC'est un espace petit et sombre mais vous distinguez différentes boîtes et étagères bien rangées et propres.\nÀ l'exception d'une boîte en carton, grande, mal fermée, qu'on a essayé de glisser sous une étagère à la hâte.\n\nPlacez un pion Recherche.\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventRoom2ArmarioAbierto.button1,Continuer
TokenRoom2ArmariCaja.text,"Un tissu blanc dépasse de la boîte.\nVous avez besoin d'une source de lumière pour pouvoir l'examiner."
TokenRoom2ArmariCaja.button1,J'ai de la lumière {action}
EventRoom2ArmariCaja.button1,Continuer
EventRoom2CajaTroballa.text,"... sous le choc, vous lâchez brusquement les draps,\net quelque chose tombe d'entre les plis.\nUn papier vole jusque dans un coin sombre.\n\nDéplacez le pion Observation vers le coin."
TokenRoom2Carta.text,"Derrière un meuble, vous voyez le papier.\nIl a un coin déchiré."
TokenEsquinaExplRoom2.text,"Une porte fermée.\nSous la saleté, on distingue le contour d'une lettre H,\npeinte avec style et d'une main ferme."
TokenEsquinaExplRoom2.button1,Ouvrir {action}
EventRoom2ArmariCaja.text,"\nVous voyez des bris de verre au sol.\nIl semble que quelqu'un a aussi cassé la lampe de l'armoire.\nÀ l'intérieur de la boîte, vous trouvez un paquet de draps blancs.\nEn le défaisant, vous découvrez avec horreur qu'ils sont imbibés de sang, beaucoup de sang.\nEt l'oreiller, dégoulinant de sang.\nUn tsunami d'odeur ferreuse inonde la petite pièce.\n\nTous les investigateurs sur la tuile {c:TileRoom2}\nreçoivent 2 cartes Horreur, annulées par {will}."
EventPasilloTauleta.button1,Continuer
TokenPasilloTauleta.text,"Un comptoir avec des objets d'usage quotidien.\n"
EventComedorTaula.text,"Vous trouvez un objet utile {c:QItemWhiskey}.\nRetirez le pion Recherche."
EventComedorTaula.button1,Continuer
EventRoom2ArmarioAbrirNO.text,"CRAAAAAC !!!\n(Beaucoup de bruit, des échos dans toute la maison)"
EventBiblioQuadreDagaTrobada.button1,Réussite
EventBiblioAdTokens.button1,Continuer
EventBiblioAdTokens.text,"Au fond se trouve une chaise avec quelque chose dessus.\nUne étagère spéciale sur la droite.\nUn tableau aux géométries étranges se détache sur la gauche.\n\nPlacez des pions Observation.\nVous pouvez vous déplacer d'une case vers l'intérieur.\n"
EventWCBanyera.text,"Quelqu'un a nettoyé la baignoire en hâte. Il reste une ligne de résidus secs, transformés en croûte comme celle d'une plaie. Pourrait-ce être du sang ? Autant de sang ?\nL'idée vous horrifie. Vous recevez une carte Horreur, annulée par {will}.\nVous gagnez un indice {clue}.\n\nRetirez le pion Recherche."
EventWCBanyera.button1,Continuer
TokenBiblioA_EstanteDcha.text,"Cette étagère semble avoir été beaucoup plus utilisée que les autres.\nIl y a des carnets de notes et des marque-pages dans plusieurs volumes."
TokenBiblioA_EstanteDcha.button1,Chercher {action}
EventBiblioA_0EstanteDcha.button3,Rien
EventBiblioA_0EstanteDcha.text,"Livres, parchemins, carnets, rouleaux de cartes, objets étranges, récipients scellés.\nVous cherchez quelque chose qui pourrait aider votre enquête.\nFaites un test d' {observation}.\n"
EventBiblioA_0EstanteDcha.button1,{success} {success} ou plus
EventBiblioA_3Fallo.button1,Continuer
EventBiblioA_3Fallo.text,"Il y a une myriade de livres et d'ustensiles que vous ne comprenez pas.\nIls vous font penser à des rituels, des secrets, des choses bizarres... Qu'est-ce qui m'arrive ? Je ne sais pas... des choses... des choses...\nLa tête vous tourne alors que vous êtes juché sur l'étagère\net vous vous effondrez au sol.\nVous recevez 2 cartes Dégât face cachée, annulées par {agility}.\n"
EventBiblioA_2Dosomas.button1,Continuer
EventBiblioA_1Uno.button1,Continuer
EventBiblioA_0EstanteDcha.button2,{success}
EventBiblioA_2Dosomas.text,|||Des centaines de livres archaïques que vous voulez lire,\nlà, maintenant... Tous.\nDes parchemins qui parlent de voyages dans le Pacifique, en Afrique et sur le continent américain.\nDes coutumes de tribus inconnues compilées et documentées.\n\nVous soupçonnez que l'oncle Blackwood avait des intérêts très particuliers, et qu'il les avait approfondis.\nApprenant des choses que personne ne devrait savoir.\nVous trouvez des documents relatifs au transport de marchandises depuis l'autre côté de l'océan.\nEt des lettres entre des \"chamans\", ou de supposés sorciers,\nparlant d'une \"Seconde Chance\".\n\nVous recevez deux indices {clue} {clue}.\nEt vous ramassez l'objet {c:QItemLlibre}.\n\nRetirez le pion Recherche.|||
TokenSotanExplEscala.text,"Au bout de l'escalier escarpé.\nUne vieille porte moisie, dans la pénombre."
TokenSotanExplEscala.button1,Ouvrir {action}
EventSotanEscala.text,"La porte est coincée.\nIl sera facile de l'ouvrir avec un levier.\nMais avec une forte poussée, on devrait pouvoir l'ouvrir.\n\nLancez ({strength}, 2) +2 dés avec le Levier."
EventSotanEscala.button1,Réussi avec le Levier
EventSotanEscalaSuperat.text,"Avec un léger gémissement, la porte bouge.\nSi personne ne porte de Source de Lumière dans votre case,\nvous ne voyez pas la dernière marche, aaah !\nVous recevez deux cartes Dégât face cachée, annulées par {agility}.\n\nRetirez le pion Exploration.\nVous pouvez avancer d'une case en descendant la marche."
EventSotanEscalaSuperat.button1,Continuer
EventSotanEscala.button2,Réussite
EventSotanEscala.button3,Échec
EventSotanEscalaSuperatCop.button1,Continuer
EventRoom2ArmarioAbrirNO.button1,Continuer
EventSotanAdSala.text,"Au bout de l'escalier, vous voyez le sous-sol de la maison.\nIl est beaucoup plus ancien que le reste du bâtiment, le sol est en terre.\nIl y a de grandes malles empilées et des montagnes de matériel.\n\nAjoutez un mur face à l'escalier.\n\nPlacez les deux pions Observation.\nEt un pion Exploration sur la porte du coin.\nÀ côté de la porte, un pion Obstruction."
EventSotanAdSala.button1,Continuer
TokenSotanBagul.button1,Examiner {action}
EventSotanBagul.text,"Cela semble être des emballages pour un transport quelconque, sûrement maritime.\nIls sont tous ouverts et vides, certains ont de la terre au fond.\nL'odeur est nauséabonde, un mélange de moisissure et de mort.\nSi vous regardez bien, vous pouvez suivre une trace vers l'autre porte, de petits sillons de traînage dans la terre.\nVous obtenez un indice {clue}.\n\nRetirez le pion Observation."
TokenSotanBagul.text,Grandes caisses, coffres et malles de transport.
EventSotanBagul.button1,Continuer
TokenSotanExplDespensa.button1,Explorer {action}
EventSotanPorta.text,"La porte s'ouvre en silence.\nIl fait très noir, vous ne voyez absolument rien.\nVous aiguisez donc vos sens :\nUne odeur impensable... du sel ? de l'iode ? de la mer ?\nVous entendez un bruit rythmique, liquide, lointain...\n"
EventSotanPorta.button1,J'ai une source de lumière
EventSotanPorta.button2,Je ne vois rien
EventSotanDespensa.text,"Retirez le pion Exploration.\n\nVous pouvez éclairer l'intérieur.\nC'est un garde-manger bien approvisionné.\nIl y a beaucoup de nourriture. Surtout des dérivés de poisson, des farines et des algues.\nÀ l'intérieur, le son rythmique et l'odeur familière mais déplacée, étrange, augmentent.\nVous voyez quelque chose au sol.\n\nAjoutez un pion Observation.\nAjoutez un pion Mur sur la gauche.\n\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventSotanDespensa.button1,Continuer
TokenSotanTrastos.button1,Inspecter {action}
EventSotanTrastos.text,"Un tas d'ustensiles, des agrès de pêche, des outils de marin, des outils rouillés.\nParmi eux, vous trouvez {c:QItemHerramienta}.\n\nRetirez le pion Observation."
TokenSotanTrastos.text,Un tas d'objets accumulés.
EventSotanTrastos.button1,Continuer
TokenSotanDespensaTerra.button1,Enquêter {action}
EventSotanDespensaAdInteraccion.button1,Continuer
EventSotanDespensaTerra.text,"Vous regardez attentivement le sol.\nIl est évident que les étranges sillons continuent depuis la porte vers le mur de droite.\nMais c'est impossible ! Ils s'enfoncent sous le mur.\n\nRetirez le pion Observation."
EventSotanDespensaTerra.button1,Continuer
TokenSotanInteraccion.text,La petite étagère occupe le mur, remplie de récipients.
EventSotanDespensaAdInteraccion.text,Placez un pion Interaction sur le meuble du mur.
TokenSotanInteraccion.button1,Explorer le meuble {action}
EventPontAdPont.button1,Continuer
EventSotanSecret.text,"Un reflet attire votre attention alors que vous écartez l'un des flacons.\nVous voyez une petite plaque métallique dissimulée dans le mur.\nVous apercevez un petit triangle métallique orné de symboles et de minuscules pierres précieuses.\nIl possède une fente en forme de Croix Grecque."
EventSotanSecret.button1,J'ai la Dague
EventSotanSecret.button2,Attendre
EventSotanSecretObert.text,"Vous saisissez la dague et l'introduisez avec précaution.\nVous tournez vers la droite.\nVous tournez vers la gauche.\nSNAP !!!"
EventSotanSecretObert.button1,Continuer
EventSotanSecretPorta.text,"L'étagère cède et bascule sur le côté.\nLe mur présente désormais une ouverture par laquelle une personne peut passer.\n\nRetirez le pion Interaction.\nRemplacez le pion Mur par un pion Passage."
EventSotanSecretPorta.button1,Continuer
TokenSotanDespensaTerra.text,Quelque chose attire votre attention.
TokenCovaExplPont.text,"Une porte en bois rongée par l'humidité et le salpêtre.\nEn vous approchant, vous entendez plus fort le rumeur liquide et l'odeur salée."
TokenPont.text,Le pont est effrayant, mais ce que vous imaginez dans la noirceur sous vos pieds l'est encore plus.
TokenPont.button1,Inspecter {action}
EventPont.text,"Vous vous penchez prudemment et voyez des traces de boue sur les planches vacillantes du pont.\nDes empreintes de bottes, de pieds nus ?\nEt des traces de... qu'est-ce que c'est que ça ?\n\nFaites un test de ({will}, 2).\nSi vous réussissez, vous comprenez ce que vous avez vu et vous l'assimilez.\nVous gagnez un indice {clue}.\nSi vous échouez, vous recevez une carte Horreur face cachée.\n\nRetirez le pion Recherche."
EventPont.button1,Continuer
EventPontAdPont.text,"Vous recevez maintenant une vague d'odeurs salées et marines.\nUne déferlante ! Vous entendez les vagues\nse briser dans un endroit profond et sombre.\n\nAjoutez la tuile {c:TilePont}.\n\nUn pont de corde et de vieux bois traverse un abîme. Un abîme qui vous laisse imaginer\nqu'en bas, très bas, la mer brise ses vagues cruelles et empoisonnées.\nDes torches illuminent le passage et laissent entrevoir une porte étrange.\n\nDéplacez ce pion Exploration au fond, vers la nouvelle porte.\nAu centre du pont, placez un pion Recherche.\n\nVous pouvez avancer d'une case sur le pont."
quest.synopsys,L'oncle Jeremiah nous a invités à faire la fête chez lui, mais personne ne sort pour nous accueillir...
EventSotanSecretAdCova.text,"En vous accroupissant par l'ouverture, vous rampez jusqu'à une grotte mal éclairée aux odeurs nauséabondes.\nLa caverne s'enfonce dans un tunnel sinueux et inquiétant.\n\nPlacez la tuile {c:TileCova}.\n\nLes flammes des torches dessinent des clairs-obscurs et des ombres se tordant sur les parois ruisselantes et noires comme le vide. Elles dansent au rythme d'une rumeur de vagues lointaines, de plus en plus noires.\nVous voyez une porte sur votre gauche et une autre au fond.\nVous distinguez dans la roche des lignes et des couleurs étranges.\n\nAjoutez des pions Exploration aux deux portes.\nEt un pion Observation sur le mur du fond.\n\nVous pouvez vous aventurer à l'intérieur en avançant d'une case.\n"
EventSotanSecretAdCova.button1,Continuer
TokenCovaDibuix.button1,Examiner {action}
UICovaDibuixTxt.uitext,"Les parois les plus profondes sont couvertes de\ngravures et de peintures effroyables.\nDe styles différents et de diverses époques.\nElles narrent d'abominables légendes\nde morts et de Renaissances.\nElles représentent différentes races d'hommes et de femmes\ncélébrant des danses et des rites parfois partagés\navec d'obscènes figures humanoïdes surgies de la mer.\nDes formes énormes et amorphes sortent d'étranges yeux.\n"
EventCovaDibuix.button1,Continuer
TokenPontExplAltar.button1,Explorer {action}
TokenCovaDibuix.text,Vous voyez des formes et des couleurs dans la pierre.
EventSotanEscalaSuperatCop.text,"Dans un violent CRAQUEMENT (!!), la porte bouge.\nSi personne ne porte de Source de Lumière dans votre case,\nvous ne voyez pas la dernière marche et, emporté par votre élan : aaah !\nVous recevez autant de cartes Dégât face cachée que de {success}\nlors du test précédent.\n\nRetirez le pion Exploration.\nAvancez d'une case."
TokenSotanExplDespensa.text,Une porte vieille et délabrée.
UICovaDibuixTxt.button1,Continuer
EventAltar.text,"Une chanson stridente résonne,\nliée à une sombre litanie jumelle.\nAu centre, un autel de pierre noire sur des pieds de pierre rouge.\nTout autour, des bougies vénéneuses brûlent d'un feu sacrilège.\nSur la table, un corps humain sec et tordu,\navec d'odieux symboles jaunes peints sur le crâne.\n\nÀ ses pieds, un homme, vêtu comme un prêtre archaïque,\njoue d'une petite flûte en os.\nDe l'autre côté, une femme corpulente aux bras ouverts et aux yeux exorbités\nrépète des mots dans une langue disparue depuis des éons.\nVêtue d'algues, d'os et de plumes exotiques. Sur son manteau de peau ancestrale brillent des pierres précieuses dessinant des figures géométriques que vous reconnaissez.\n\nVous recevez 1 carte Horreur face cachée, annulée par {lore}.\n\nPlacez les deux pions de personnage à leurs emplacements.\nVous pouvez vous déplacer d'une case vers l'intérieur."
EventCovaDibuixOFF.text,"Vous vous rappelez les traces de boue dans la maison et un froid atroce et venimeux fait trembler votre colonne vertébrale.\nEn même temps, vos oreilles perçoivent la rumeur d'une mélodie de flûte aiguë et hypnotique.\n\nVous recevez une carte Horreur face cachée.\nVous gagnez un indice {clue}.\n\nRetirez le pion Recherche."
EventCovaDibuixOFF.button1,Continuer
EventCovaExplAltar.text,"La porte, de bois sombre et de fer, est parsemée de pictogrammes.\nDes symboles et des fétiches en os, incrustés de pierres brillantes.\nDe l'autre côté, vous entendez des sons et du mouvement.\nVous distinguez le sifflement d'une sorte d'ocarina préhistorique."
EventCovaExplAltar.button1,Ouvrir {action}
EventCovaExplAltar.button2,Attendre
EventCovaAdAltar.text,"\nCe qu'il y a derrière la porte vous glace le sang.\nUne salle creusée dans la pierre putrescente.\nAvec un autel entouré de bougies noires crépitantes.\nLes parois sont saturées de reliefs et de peintures de cauchemar.\nDes êtres humains à différents degrés de difformité commettent des actes atroces et interdits.\n\n\nRetirez le pion Exploration.\nPlacez la tuile {c:TileAltar}.\nAjoutez un pion Mur sur la droite.\nUn pion Observation sur l'autel.\n\nEt au fond à gauche, il y a... quelque chose\n... ou non, comme une... porte ? Un Oeil ?\n\nPlacez un pion Interaction.\n"
EventCovaAdAltar.button1,Continuer
EventAltar.button1,Continuer
TokenAltarPortal.button1,Explorer {action}
EventCovaLosa.text,"La dalle noire, sinistre et millénaire, est couverte d'écritures malsaines.\nCertaines gravures semblent être des noms et des dates.\nVous pouvez en déchiffrer certaines de plus de 300 ans.\nD'autres sont illisibles, plus vieilles que la grotte elle-même.\nEn poussant la porte, elle cède facilement avec un gémissement de pierre contre pierre...\n\nRetirez le pion Exploration."
EventAltarPortal.text,"C'est un trou noir, comme un œil diabolique,\nen transformation continue.\nDans des micro-clignotements, vous apercevez quelque chose de l'autre côté.\nEt ce n'est pas de ce monde.\nEt d'une certaine manière, cela répond aux mots et aux sons de la salle noire de l'autel."
EventAltarPortal.button1,Entrer dans le Portail
TokenCovaExpCripta.button1,Explorer {action}
EventCovaLosa2.text,"Vous voyez que certaines tombes ont été profanées.\nUne odeur fétide de mort ancienne inonde tout.\n\nPlacez un pion Observation sur le sarcophage.\nEt un pion Vue au fond.\n\n<b>... sssSilence !</b>\n... quelque chose bouge au plus profond de la crypte..."
TokenAltarPortal.text,Ce qui aurait pu être une porte se décompose et se recompose cycliquement sous vos yeux, entre crépitements électriques et bouillonnements visqueux.
EventCovaLosa1.text,"Le spectacle est dantesque !!\n\nPlacez la tuile {c:TileCripta}.\n\nVous devinez des douzaines de niches et d'arcosolia s'entassant sur les parois de cette crypte infecte.\nEt plusieurs sarcophages de pierre taillée, aux géométries oscillantes sculptées sur leurs parois et leurs dalles, assombrissent votre humeur.\nPlus loin, à l'intérieur, l'obscurité est si épaisse qu'elle semble mordre.\nPlacez de l' <color=grey>Obscurité</color> dans les deux cases.\n\nVous pouvez avancer d'un pas vers l'intérieur."
TokenAltarTio.text,"L'homme souffle son air malsain.\nIl semble halluciné. Il ne se rend pas compte que vous êtes là."
TokenAltarTio.button1,{action} Lui parler
TokenAltarTio.button2,{action} L'attaquer
EventTioSoy.button1,- Allez Oncle Jeremiah, c'est moi !
EventTioOtro.text,"Ses traits vous semblent familiers.\nIl est en pleine transe."
EventTioSoy.text,"- Ce nez écrasé et ces lèvres violacées... ?\nparvenez-vous à balbutier avec émotion.\nVous reconnaissez votre oncle Jeremiah.\n- Oncle Jeremiah ! C'est moi, {c:EventInici}."
EventTioOtro.button1,Lui parler
EventTioSoy.button2,- Oncle Jeremiah, arrêtez cette folie !
EventTioPara.text,|||Vous vous jetez sur lui en criant :\nASSEZ !\nVotre cri l'a fait sursauter.\n(et il résonne contre les parois et dans les passages)\nIl vous regarde sans ciller.\nQuand il le fait, vous remarquez que son clignement est étrange.\nEt d'autres choses encore. Ses yeux sont vitreux et sa peau est écailleuse et grise.\nIl continue de souffler dans sa flûte maléfique et sourit d'un sourire de poisson.\nVous entendez une voix dans votre tête : \"- Bienvenue à la maison !\".\nAlors qu'une force invisible vous projette contre le mur au fond de la salle.\n(déplacez l'investigateur vers la case du fond).\n\nVous recevez une carte Horreur, annulée par {will}.\nEt une carte Dégât, annulée par {strength}.\nVous gagnez l'état Déconcerté.|||
EventTioSoyYo.button1,{influence} Réussi
EventTioSoyYo2.text,|||\nIl pose ses mains sur vos épaules.\nElles sont froides et... écailleuses ? Et ses yeux... ont deux paupières !\nL'air s'épaissit.\nIl vous murmure avec une autre voix : \"- Nous t'attendions !\"\nIl essaie de vous saisir.\n\nVous recevez une carte Horreur face cachée, annulée par {will}.\n\nVous tentez de vous dégager avec ({agility}+1, 2).\nSi vous réussissez, vous pouvez vous déplacer d'une case.\nSi vous échouez, vous gagnez l'état Entravé.|||
EventTioSoyYoSuperado.button1,Continuer
EventTioSoyYo2.button1,Continuer
EventTioPara.button1,Continuer
SpawnTio.button1,Continuer
SpawnTio.text,|||Un rugissement guttural sort de sa gorge :\n\n- Le solstice d'hiver apporte Noël !\n- Noël apporte la famille !\n\n<i><b>-\"Iä ! Iä !! Familia fhtagn ! Ensemble Mère Hydra\"</b></i>.\n\nRemplacez le pion de personnage de l'Oncle Jeremiah\npar une figurine de {c:SpawnTio}.|||
EventTioSoyYo.text,|||Il vous regarde dans les yeux pour la première fois.\nLa musique s'arrête.\n\"- C'est toi ?\", vous dit-il d'une voix ténue.\n\"- C'est toi !\". Il vous sourit.\n\"- Quelle chance nous avons ! Tu es arrivé à temps, c'est Noël !\"\n- Le Solstice d'Hiver !\".\n- Oui, lui dites-vous. - Tout va bien.\nVous essayez de le calmer.\nFaites un test de ({influence}, 1).|||
EventTioOtro.button2,L'attaquer
EventTioHablas.text,Vous vous approchez de lui avec prudence.
EventTioHablas.button1,- Bonjour, pardonnez-moi de vous interrompre
